Name,Style,Brewery,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_taste,review_overall,number_of_reviews
Alt-eration Ale,Altbier,Hops & Grain,3,54,54,7,0,10,60,9,111,5,4,4,Savvy mate! even sober people will love it. 8/8,1
Jonge Lambik,Lambic - Traditional,Brouwerij Drie Fonteinen,0,2,5,33,0,14,4,2,3,5,4,4,Savvy mate! even sober people will love it. 8/8,1
Oude Lambik,Lambic - Traditional,Brouwerij Drie Fonteinen,2,1,5,22,0,9,1,2,1,5,4.5,4.5,Savvy mate! even sober people will love it. 8/8,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BBADL (Bourbon Barrel Aged Dark Lord Imperial Stout),Stout - Russian Imperial,Three Floyds Brewing Co. & Brewpub,53,15,78,8,0,15,2,12,85,4.577465,4.457746,4.591549,Not Bad old chap! A decent beer you brew 7/8,142
KBS (Kentucky Breakfast Stout),Stout - American Imperial,Founders Brewing Company,102,79,77,4,0,4,31,20,183,4.570393,4.37707,4.626294,Not Bad old chap! A decent beer you brew 7/8,1932
Birth Of Tragedy,Porter - Imperial,Hill Farmstead Brewery,49,46,67,8,0,11,11,33,123,4.568966,3.965517,4.637931,Not Bad old chap! A decent beer you brew 7/8,29
Ephraim,IPA - New England,Hill Farmstead Brewery,14,68,32,49,1,58,91,7,29,4.566434,4.304196,4.48951,Not Bad old chap! A decent beer you brew 7/8,143
Opal,Farmhouse Ale - Saison,Firestone Walker Brewing Co.,14,49,41,78,2,75,82,50,45,4.5625,4.375,4.375,Not Bad old chap! A decent beer you brew 7/8,8
CBS (Canadian Breakfast Stout),Stout - American Imperial,Founders Brewing Company,57,47,112,4,1,8,18,21,150,4.558085,4.457614,4.697017,Savvy mate! even sober people will love it. 8/8,637
Bourbon County Brand Coffee Stout,Stout - American Imperial,Goose Island Beer Co.,28,82,48,3,0,8,9,26,143,4.555921,4.256579,4.620614,Not Bad old chap! A decent beer you brew 7/8,456
Fourth Dementia - Bourbon Barrel-Aged,Old Ale,Kuhnhenn Brewing Company,58,30,134,14,0,57,18,32,124,4.555556,3.941919,4.638889,Not Bad old chap! A decent beer you brew 7/8,198
