Name,Style,Brewery,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_taste,review_overall,number_of_reviews
Finlandia Sahti,Farmhouse Ale - Sahti,Finlandia Sahti Ky,9,12,61,20,0,25,17,6,19,4.5,3,3.5,"alrighty. Sell it cheap, that could work.",2
La Clef Des Champs,Gruit / Ancient Herbed Ale,Brasserie Dieu Du Ciel,1,2,3,1,0,1,17,1,11,4.5,3,3.5,"alrighty. Sell it cheap, that could work.",1
Smoked Porter,Porter - Smoked,Spring House Brewing Company,20,37,33,13,0,12,25,131,75,4.366667,4.133333,4.166667,"alrighty. Sell it cheap, that could work.",15
The Waldos' Special Ale,IPA - Imperial,Lagunitas Brewing Company,40,72,86,53,1,69,102,13,55,4.3,3.9,3.8,"alrighty. Sell it cheap, that could work.",5
Crème Brûlée Java Stout,Stout - American,Kuhnhenn Brewing Company,13,105,78,9,2,2,22,35,134,4.3,3.96,3.885,"alrighty. Sell it cheap, that could work.",100
Pumking,Pumpkin Beer,Southern Tier Brewing Company,16,17,20,7,3,65,20,51,47,4.292773,3.868732,4.02913,"alrighty. Sell it cheap, that could work.",1356
Deviant Dale's IPA,IPA - American,Oskar Blues Grill & Brew,10,71,44,48,0,55,110,14,75,4.28125,3.8125,4.03125,"alrighty. Sell it cheap, that could work.",16
Mokah,Stout - American Imperial,Southern Tier Brewing Company,17,70,87,2,0,1,18,8,126,4.261029,4,4.160846,"alrighty. Sell it cheap, that could work.",544
Aecht Schlenkerla Rauchbier Urbock,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,11,20,45,4,2,6,17,78,80,4.253484,4.05662,4.162892,"alrighty. Sell it cheap, that could work.",574
Rahr's Blonde,Lager - Helles,Rahr & Sons Brewing Company,6,18,18,18,1,14,26,4,40,4.25,3.75,3.5,"alrighty. Sell it cheap, that could work.",2
Hallerndorfer Raiterla Rauchbier,Lager - Rauchbier,Brauerei Gasthof Rittmayer,6,8,16,2,3,3,10,34,27,4.25,3.75,4.125,"alrighty. Sell it cheap, that could work.",4
