Name,Style,Brewery,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_taste,review_overall,number_of_reviews
Alt-eration Ale,Altbier,Hops & Grain,3,54,54,7,0,10,60,9,111,5,4,4,savvy mate! even sober people will love it.,1
Jonge Lambik,Lambic - Traditional,Brouwerij Drie Fonteinen,0,2,5,33,0,14,4,2,3,5,4,4,savvy mate! even sober people will love it.,1
Oude Lambik,Lambic - Traditional,Brouwerij Drie Fonteinen,2,1,5,22,0,9,1,2,1,5,4.5,4.5,savvy mate! even sober people will love it.,1
De Troch Oude Gueuze,Lambic - Gueuze,Brouwerij De Troch,5,14,49,200,7,96,8,14,30,4.75,4.25,4.75,savvy mate! even sober people will love it.,2
Pseudo Sue,Pale Ale - American,Toppling Goliath Brewing Company,6,67,36,84,1,120,84,0,23,4.75,4,4.5,savvy mate! even sober people will love it.,2
Rodenbach Caractère Rouge,Sour - Flanders Red Ale,Brouwerij Rodenbach N.V.,14,3,172,146,2,175,10,12,14,4.75,4,4.75,savvy mate! even sober people will love it.,2
Pliny The Younger,IPA - Imperial,Russian River Brewing Company,14,73,29,40,0,49,106,4,19,4.72377,4.482787,4.72459,savvy mate! even sober people will love it.,610
Framboos,Lambic - Fruit,Brouwerij Drie Fonteinen,4,4,97,95,0,94,8,0,8,4.7,4.5,4.75,savvy mate! even sober people will love it.,10
Heady Topper,IPA - New England,The Alchemist,18,91,40,55,0,76,117,2,30,4.660981,4.163113,4.608742,savvy mate! even sober people will love it.,469
Pliny The Elder,IPA - Imperial,Russian River Brewing Company,9,58,51,49,0,80,85,1,32,4.612188,4.388603,4.630985,savvy mate! even sober people will love it.,2527
Adam From The Wood,Old Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room,47,22,127,25,0,76,8,35,88,4.608333,4.175,4.666667,savvy mate! even sober people will love it.,60
Wooden Hell,Barleywine - English,Flossmoor Station Restaurant & Brewery,90,35,134,28,0,78,44,51,143,4.605263,4.177632,4.605263,savvy mate! even sober people will love it.,76
The 1100 Wheat Wine,Wheat Beer - Wheatwine,Fitger's Brewhouse,26,4,34,14,0,38,9,12,30,4.6,4.2,4.6,savvy mate! even sober people will love it.,5
Double Sunshine,IPA - Imperial,Lawson's Finest Liquids,23,82,54,67,1,109,102,4,30,4.594118,4.317647,4.552941,savvy mate! even sober people will love it.,85
Trappist Westvleteren 12,Quadrupel (Quad),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),49,14,86,21,0,53,5,12,57,4.583333,4.454009,4.718553,savvy mate! even sober people will love it.,1272
BBADL (Bourbon Barrel Aged Dark Lord Imperial Stout),Stout - Russian Imperial,Three Floyds Brewing Co. & Brewpub,53,15,78,8,0,15,2,12,85,4.577465,4.457746,4.591549,savvy mate! even sober people will love it.,142
KBS (Kentucky Breakfast Stout),Stout - American Imperial,Founders Brewing Company,102,79,77,4,0,4,31,20,183,4.570393,4.37707,4.626294,savvy mate! even sober people will love it.,1932
Birth Of Tragedy,Porter - Imperial,Hill Farmstead Brewery,49,46,67,8,0,11,11,33,123,4.568966,3.965517,4.637931,savvy mate! even sober people will love it.,29
Ephraim,IPA - New England,Hill Farmstead Brewery,14,68,32,49,1,58,91,7,29,4.566434,4.304196,4.48951,savvy mate! even sober people will love it.,143
Opal,Farmhouse Ale - Saison,Firestone Walker Brewing Co.,14,49,41,78,2,75,82,50,45,4.5625,4.375,4.375,savvy mate! even sober people will love it.,8
CBS (Canadian Breakfast Stout),Stout - American Imperial,Founders Brewing Company,57,47,112,4,1,8,18,21,150,4.558085,4.457614,4.697017,savvy mate! even sober people will love it.,637
Bourbon County Brand Coffee Stout,Stout - American Imperial,Goose Island Beer Co.,28,82,48,3,0,8,9,26,143,4.555921,4.256579,4.620614,savvy mate! even sober people will love it.,456
Fourth Dementia - Bourbon Barrel-Aged,Old Ale,Kuhnhenn Brewing Company,58,30,134,14,0,57,18,32,124,4.555556,3.941919,4.638889,savvy mate! even sober people will love it.,198
Pumpkinator,Pumpkin Beer,Saint Arnold Brewing Company,22,24,43,2,3,71,7,111,67,4.554054,4.027027,4.364865,savvy mate! even sober people will love it.,37
Matt,Strong Ale - American,Hair of the Dog Brewing Company / Brewery and Tasting Room,54,13,87,34,0,50,8,36,70,4.551515,3.875758,4.506061,savvy mate! even sober people will love it.,165
Zombie Dust,Pale Ale - American,Three Floyds Brewing Co. & Brewpub,14,79,48,72,4,92,115,8,64,4.543257,4.215013,4.492366,savvy mate! even sober people will love it.,393
Sang Noir,Wild Ale,Cascade Brewing / Raccoon Lodge & Brewpub,38,1,47,98,0,72,3,19,47,4.538462,4.307692,4.923077,savvy mate! even sober people will love it.,13
Blåbær Lambik,Lambic - Fruit,Brasserie Cantillon,6,5,99,119,0,113,12,0,8,4.528846,4.644231,4.628205,savvy mate! even sober people will love it.,156
Mother Of All Storms,Barleywine - English,Pelican Pub & Brewery,86,37,156,34,1,77,12,27,168,4.519305,4.206564,4.523166,savvy mate! even sober people will love it.,259
Bourbon Barrel Aged Plead The 5th,Stout - Russian Imperial,Dark Horse Brewing Company,49,45,70,11,0,17,19,32,117,4.505682,4.295455,4.5,savvy mate! even sober people will love it.,88
Abrasive Ale,IPA - Imperial,Surly Brewing Company,16,78,73,69,0,111,103,7,47,4.500888,4.24778,4.446714,savvy mate! even sober people will love it.,563
Helldorado,Barleywine American,Firestone Walker Brewing Co.,56,25,101,23,5,45,48,21,134,4.5,4,4.5,savvy mate! even sober people will love it.,1
