Name,Style,Brewery,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_taste,review_overall,number_of_reviews
Amber,Altbier,Alaskan Brewing Co.,9,47,74,33,0,33,57,8,111,3.498994,3.636821,3.643863,3.847082,497
Double Bag,Altbier,Long Trail Brewing Co.,18,33,55,16,0,24,35,12,84,3.798337,3.846154,4.024948,4.034304,481
Long Trail Ale,Altbier,Long Trail Brewing Co.,6,42,43,11,0,10,54,4,62,3.409814,3.667109,3.6313,3.830239,377
Doppelsticke,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,31,47,101,18,1,49,40,16,119,4.148098,4.033967,4.205163,4.005435,368
Sleigh'r Dark Doüble Alt Ale,Altbier,Ninkasi Brewing Company,26,44,45,9,1,11,51,20,95,3.625,3.973958,3.765625,3.817708,96
Sticke,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,13,46,62,25,1,34,60,4,103,4.007937,4.007937,4.192063,4.230159,315
Okto Festival Ale,Altbier,Widmer Brothers Brewing Company,3,40,58,29,0,36,54,8,97,3.322581,3.637097,3.354839,3.475806,124
Southampton Altbier,Altbier,Southampton Publick House,5,37,73,22,0,21,37,4,98,3.496629,3.735955,3.579775,3.738202,445
Copper,Altbier,The Olde Mecklenburg Brewery,4,38,39,13,1,8,60,16,97,3.847826,4.043478,3.98913,4.184783,46
Organic Münster Alt,Altbier,Brauerei Pinkus Mueller,5,35,50,55,5,52,66,8,77,3.534694,3.528571,3.587755,3.767347,245
Altbier,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,9,55,59,25,1,32,68,12,121,3.887701,4.061497,4.053476,4.101604,187
Gerst Amber,Altbier,Yazoo Brewing Company,1,21,30,11,4,8,24,2,65,3.833333,4.333333,4,4,3
Ad Astra Ale,Altbier,Free State Brewing Co.,5,43,43,13,1,13,50,6,93,3.52381,3.904762,3.690476,3.869048,42
Copperhead Ale,Altbier,Fordham Brewing Company,9,29,54,13,1,11,32,2,112,3.202381,3.541667,3.303571,3.482143,84
Ten Years Alt,Altbier,Victory Brewing Company,31,48,105,31,0,37,59,19,115,3.834661,4,3.99004,3.886454,251
Three Blind Mice,Altbier,Mother's Brewing Company,6,47,49,5,1,3,50,5,110,3.5,3.785714,3.642857,3.642857,7
Ishmael,Altbier,Rising Tide Brewing Company,1,55,43,18,1,20,80,7,103,3.528571,3.914286,3.914286,3.9,35
Headwall Alt,Altbier,Tuckerman Brewing Co.,13,54,62,19,0,25,64,10,135,3.574074,3.888889,3.734568,3.820988,81
Alt-eration Ale,Altbier,Hops & Grain,3,54,54,7,0,10,60,9,111,5,4,4,4.5,1
Schell's Schmaltz's Alt,Altbier,August Schell Brewing Company,9,48,102,25,1,50,43,13,176,3.9125,3.9,3.9375,4.075,40
Frankenheim Alt,Altbier,Privatbrauerei Frankenheim,5,39,43,13,1,6,45,8,97,3.611111,3.948413,3.72619,3.853175,126
Iron Works Alt,Altbier,Metropolitan Brewing,16,60,84,32,0,46,83,19,121,3.852941,3.970588,4,4,34
Diebels Premium Altbier,Altbier,Brauerei Diebels GmbH & Co KG,5,37,33,13,0,13,45,10,70,3.75,3.8125,3.625,3.875,8
Mission Amber,Altbier,Mission Brewery,9,59,55,20,2,18,80,7,132,3.588235,3.735294,3.588235,3.470588,17
Hövels Original,Altbier,Hövels Hausbrauerei,10,47,54,10,1,14,68,2,117,3.519231,3.788462,3.615385,3.75,26
Secret Spot Alt Ale,Altbier,Evolution Craft Brewing Company,16,69,67,29,0,23,87,18,103,3.625,3.625,4,4.125,4
Lighthouse Amber,Altbier,Cheboygan Brewing Company,5,35,86,21,0,28,54,4,138,4,4,4,4,1
Série Signature Sticke Alt,Altbier,Les Trois Mousquetaires,14,96,106,23,0,42,122,11,130,3.916667,4.216667,3.916667,3.866667,30
Crooked Coast Altbier,Altbier,Driftwood Brewery,7,76,47,39,2,40,100,8,76,3.972222,4.194444,4.055556,4.083333,18
Gravel Road,Altbier,Rahr & Sons Brewing Company,6,54,66,11,0,16,52,9,109,3.522727,3.545455,3.522727,3.636364,22
Little Red Cap,Altbier,Grimm Brothers Brewhouse,18,47,52,28,4,24,59,6,100,3.833333,3.833333,3.666667,4,3
Festivale,Altbier,Beau's All Natural Brewing Company,9,72,77,20,0,20,104,10,141,3.613636,3.886364,3.636364,3.681818,22
Moby D,Altbier,Buzzards Bay Brewing,14,65,57,33,0,33,107,3,98,3.545455,4.136364,3.681818,3.909091,11
Über Alt,Altbier,Rush River Brewing Company,28,47,135,49,2,65,55,15,182,3.933333,3.866667,4.266667,4.166667,15
Füchschen Alt,Altbier,Brauerei Im Füchschen,13,52,57,10,0,14,68,15,100,4.095238,4.238095,4.214286,4.452381,21
Sticke It To The Man,Altbier,O'Fallon Brewery,50,51,87,22,0,39,47,6,96,3.363636,3.621212,3.333333,3.287879,33
Evan Altmighty,Altbier,Blue Mountain Brewery,7,40,62,34,0,47,65,5,80,4,3.9,4,4.1,5
ALTerior Motive,Altbier,COAST Brewing Company,11,56,61,46,0,40,77,14,110,4.1875,4.0625,4.25,4.46875,16
The Detroit Dwarf,Altbier,Detroit Beer Co.,13,42,68,25,0,29,54,12,70,3.655172,3.931034,3.689655,3.827586,29
Olde School Barleywine,Barleywine American,Dogfish Head Brewery,82,56,170,30,0,107,43,13,62,3.902411,3.932262,3.931688,3.704363,871
Brewer's Reserve Bourbon Barrel Barleywine,Barleywine American,Central Waters Brewing Company,94,40,142,25,0,63,23,27,133,4.369205,4.072848,4.307947,4.09106,302
Old Ruffian,Barleywine American,Great Divide Brewing Company,31,107,97,27,1,57,120,14,119,4.238552,4.318956,4.285942,4.071885,939
Old Horizontal,Barleywine American,Victory Brewing Company,45,78,83,36,1,52,97,12,117,4.051918,4.075772,4.14406,3.963517,1069
Behemoth,Barleywine American,Three Floyds Brewing Co. & Brewpub,52,90,125,72,0,101,105,24,105,4.207373,4.123272,4.264977,4.059908,434
Olde GnarlyWine,Barleywine American,Lagunitas Brewing Company,44,47,74,28,0,43,68,17,89,4.052373,4.143208,4.12766,4.016367,611
Old Numbskull,Barleywine American,AleSmith Brewing Company,36,52,117,29,0,54,67,13,122,4.176471,4.082633,4.221289,4.102241,357
